Id,SalePrice
1461,134333
1462,153925
1463,184833
1464,185267
1465,202913
1466,185457
1467,172693
1468,178407
1469,178487
1470,126619
1471,201327
1472,98590
1473,109527
1474,152015
1475,126124
1476,394174
1477,249402
1478,304046
1479,303108
1480,450155
1481,302254
1482,205235
1483,186056
1484,173881
1485,180309
1486,200621
1487,321697
1488,247007
1489,200388
1490,219914
1491,196182
1492,101877
1493,173619
1494,307130
1495,285918
1496,232683
1497,184766
1498,157878
1499,157386
1500,168986
1501,176496
1502,162476
1503,291671
1504,237462
1505,216202
1506,180075
1507,256560
1508,192834
1509,159820
1510,149271
1511,152330
1512,169504
1513,147870
1514,167402
1515,197944
1516,155606
1517,157255
1518,143712
1519,228763
1520,139867
1521,145126
1522,159239
1523,124122
1524,121873
1525,130937
1526,132085
1527,113781
1528,129081
1529,140236
1530,168267
1531,136265
1532,107410
1533,139041
1534,124194
1535,156851
1536,123722
1537,98739
1538,178157
1539,240207
1540,137253
1541,140612
1542,139493
1543,193954
1544,86086
1545,111697
1546,123204
1547,135601
1548,128690
1549,116844
1550,141160
1551,120887
1552,151450
1553,152781
1554,122682
1555,178002
1556,106523
1557,127637
1558,102744
1559,124613
1560,144216
1561,161900
1562,126987
1563,124497
1564,162934
1565,156625
1566,211439
1567,89925
1568,225341
1569,170602
1570,143459
1571,128638
1572,146136
1573,234688
1574,140941
1575,211240
1576,230141
1577,198790
1578,147761
1579,144387
1580,189809
1581,142063
1582,125870
1583,316675
1584,243015
1585,145454
1586,86970
1587,112402
1588,149613
1589,108352
1590,132982
1591,110187
1592,131134
1593,122985
1594,151088
1595,134655
1596,218774
1597,178735
1598,190383
1599,193196
1600,188578
1601,91253
1602,121469
1603,104484
1604,283401
1605,253966
1606,166891
1607,182469
1608,205375
1609,194226
1610,170197
1611,149483
1612,186030
1613,176940
1614,123393
1615,97559
1616,91793
1617,96174
1618,123835
1619,142967
1620,194011
1621,149904
1622,147723
1623,272939
1624,218986
1625,135714
1626,166717
1627,184145
1628,271605
1629,174369
1630,362870
1631,215209
1632,244667
1633,176593
1634,186805
1635,181704
1636,168885
1637,184174
1638,202814
1639,180022
1640,240765
1641,174840
1642,219066
1643,230037
1644,230597
1645,184214
1646,159189
1647,163353
1648,142438
1649,140180
1650,122406
1651,123111
1652,99903
1653,101849
1654,155375
1655,146825
1656,147771
1657,155024
1658,152193
1659,130504
1660,151315
1661,429958
1662,370538
1663,355776
1664,438103
1665,308954
1666,348153
1667,356589
1668,325859
1669,285347
1670,338780
1671,256533
1672,438953
1673,304821
1674,250858
1675,196394
1676,196245
1677,210252
1678,438108
1679,390152
1680,338688
1681,274369
1682,319292
1683,190858
1684,180491
1685,178956
1686,182727
1687,176365
1688,190321
1689,192794
1690,187218
1691,182837
1692,263328
1693,177317
1694,180471
1695,172878
1696,261016
1697,173632
1698,336424
1699,301463
1700,244863
1701,269603
1702,256552
1703,255449
1704,287021
1705,233443
1706,429894
1707,209318
1708,201525
1709,258380
1710,222000
1711,272031
1712,260758
1713,269242
1714,214403
1715,201797
1716,181397
1717,167019
1718,140897
1719,208358
1720,254110
1721,168634
1722,139997
1723,164249
1724,211889
1725,232524
1726,199331
1727,180563
1728,188410
1729,171627
1730,162333
1731,126534
1732,131276
1733,129781
1734,136108
1735,136231
1736,123500
1737,319842
1738,212693
1739,274500
1740,216807
1741,192324
1742,174522
1743,175041
1744,291581
1745,205402
1746,240424
1747,221991
1748,224073
1749,164192
1750,146958
1751,215034
1752,124776
1753,151053
1754,192776
1755,171915
1756,120679
1757,120890
1758,147001
1759,166572
1760,159877
1761,152154
1762,184709
1763,166416
1764,125766
1765,173072
1766,170794
1767,200559
1768,144972
1769,165481
1770,148500
1771,137850
1772,145418
1773,141031
1774,158073
1775,132533
1776,125261
1777,121682
1778,136357
1779,129680
1780,172745
1781,132655
1782,110746
1783,141647
1784,114452
1785,120470
1786,160809
1787,170717
1788,84937
1789,100311
1790,105729
1791,185728
1792,154697
1793,147770
1794,139499
1795,138247
1796,135525
1797,121714
1798,130324
1799,117378
1800,133263
1801,140408
1802,139195
1803,154077
1804,142307
1805,138733
1806,123630
1807,141975
1808,128209
1809,135086
1810,144468
1811,117293
1812,112898
1813,124601
1814,106542
1815,72210
1816,111014
1817,137417
1818,149661
1819,131119
1820,94623
1821,125560
1822,144794
1823,72654
1824,133363
1825,144631
1826,115502
1827,116529
1828,134068
1829,116799
1830,137288
1831,162332
1832,131881
1833,143281
1834,140900
1835,157319
1836,132254
1837,106102
1838,134317
1839,102248
1840,161900
1841,144164
1842,105906
1843,146812
1844,138994
1845,154182
1846,155466
1847,164894
1848,76946
1849,129791
1850,131695
1851,150058
1852,128334
1853,145318
1854,166731
1855,162993
1856,216700
1857,188733
1858,153756
1859,129526
1860,153400
1861,129394
1862,276188
1863,268122
1864,268122
1865,334662
1866,330284
1867,238001
1868,311566
1869,201833
1870,235428
1871,257366
1872,179417
1873,230567
1874,143690
1875,209312
1876,191669
1877,210615
1878,212963
1879,137879
1880,134873
1881,248225
1882,258536
1883,202120
1884,213488
1885,250756
1886,303754
1887,205688
1888,285506
1889,177005
1890,133582
1891,141485
1892,115217
1893,138347
1894,140241
1895,150512
1896,126980
1897,132111
1898,121691
1899,141016
1900,140365
1901,162711
1902,147911
1903,195160
1904,141285
1905,175493
1906,160291
1907,184287
1908,117741
1909,138324
1910,126982
1911,193190
1912,275733
1913,164923
1914,76266
1915,342732
1916,82450
1917,253632
1918,142485
1919,157762
1920,178873
1921,412618
1922,332777
1923,198183
1924,225144
1925,221452
1926,367487
1927,141331
1928,165573
1929,124957
1930,143867
1931,149886
1932,149262
1933,178678
1934,179377
1935,177782
1936,187572
1937,185872
1938,181500
1939,249736
1940,203584
1941,179129
1942,193659
1943,206841
1944,346180
1945,368331
1946,165968
1947,315923
1948,167945
1949,232231
1950,179396
1951,254402
1952,217464
1953,175630
1954,195247
1955,138359
1956,270541
1957,161302
1958,310058
1959,151109
1960,122154
1961,124205
1962,100778
1963,103224
1964,119365
1965,145586
1966,144424
1967,303020
1968,424868
1969,387132
1970,423393
1971,408044
1972,355886
1973,273896
1974,320434
1975,425532
1976,273847
1977,361950
1978,349994
1979,321906
1980,197024
1981,340016
1982,227963
1983,220862
1984,173494
1985,210342
1986,207903
1987,187656
1988,181129
1989,195927
1990,226891
1991,218807
1992,211972
1993,180283
1994,242921
1995,184985
1996,259849
1997,307764
1998,334675
1999,265597
2000,300204
2001,277298
2002,242987
2003,259646
2004,274043
2005,227995
2006,222259
2007,246589
2008,205386
2009,198516
2010,197538
2011,149373
2012,182383
2013,186359
2014,192035
2015,202211
2016,198791
2017,204404
2018,133305
2019,133271
2020,119060
2021,118301
2022,173745
2023,153575
2024,251566
2025,356167
2026,184400
2027,161760
2028,167555
2029,174398
2030,267932
2031,243818
2032,259543
2033,253370
2034,169416
2035,201651
2036,193179
2037,195794
2038,304684
2039,216316
2040,320128
2041,267355
2042,202109
2043,162157
2044,167836
2045,208684
2046,146864
2047,152034
2048,134394
2049,144457
2050,177548
2051,120998
2052,138778
2053,143889
2054,103309
2055,162508
2056,143359
2057,127639
2058,221461
2059,142639
2060,164394
2061,167544
2062,140088
2063,121983
2064,135978
2065,121510
2066,168570
2067,152291
2068,151848
2069,89144
2070,117790
2071,110040
2072,135767
2073,138699
2074,171640
2075,146684
2076,119855
2077,147124
2078,132983
2079,131236
2080,121817
2081,129749
2082,144558
2083,142692
2084,117655
2085,135782
2086,131037
2087,129537
2088,123342
2089,102275
2090,137002
2091,137146
2092,137123
2093,137283
2094,131174
2095,147227
2096,91034
2097,107995
2098,137390
2099,74564
2100,127176
2101,134734
2102,133987
2103,114988
2104,138377
2105,137581
2106,90294
2107,211145
2108,120659
2109,118403
2110,128974
2111,143426
2112,143490
2113,123413
2114,115540
2115,145856
2116,119121
2117,147885
2118,129729
2119,112028
2120,123393
2121,114719
2122,112509
2123,107477
2124,161806
2125,136110
2126,151908
2127,156721
2128,134274
2129,111897
2130,142130
2131,158238
2132,127904
2133,121787
2134,132119
2135,114473
2136,106464
2137,124628
2138,139948
2139,156114
2140,137804
2141,139382
2142,139575
2143,144163
2144,137044
2145,135462
2146,156204
2147,163656
2148,126391
2149,138946
2150,203849
2151,125247
2152,173196
2153,162239
2154,111231
2155,138828
2156,260219
2157,233022
2158,233868
2159,208886
2160,180536
2161,249257
2162,388403
2163,342973
2164,243328
2165,177340
2166,144141
2167,209291
2168,208874
2169,199161
2170,216332
2171,149023
2172,138251
2173,156745
2174,232529
2175,284776
2176,325879
2177,258671
2178,224511
2179,148198
2180,226438
2181,197491
2182,230908
2183,196475
2184,139360
2185,133997
2186,141752
2187,150695
2188,152255
2189,217329
2190,99176
2191,98453
2192,97827
2193,116678
2194,113370
2195,121352
2196,122811
2197,125025
2198,153458
2199,166641
2200,136332
2201,138006
2202,185633
2203,157495
2204,180756
2205,129525
2206,134217
2207,217059
2208,217827
2209,191492
2210,123053
2211,117786
2212,119325
2213,113231
2214,150091
2215,111397
2216,153245
2217,97829
2218,95582
2219,87869
2220,95924
2221,344567
2222,265554
2223,295550
2224,221668
2225,148503
2226,199824
2227,203167
2228,285410
2229,249857
2230,168206
2231,208101
2232,187205
2233,183185
2234,246429
2235,228968
2236,275355
2237,355528
2238,211385
2239,133424
2240,169308
2241,147093
2242,133219
2243,135316
2244,102732
2245,103828
2246,146012
2247,117697
2248,126228
2249,127823
2250,138597
2251,147321
2252,172446
2253,167473
2254,181169
2255,187926
2256,186176
2257,209134
2258,175710
2259,181223
2260,157096
2261,188023
2262,207756
2263,347550
2264,421362
2265,164405
2266,289305
2267,393779
2268,377042
2269,164257
2270,185177
2271,222353
2272,198719
2273,168035
2274,176159
2275,170307
2276,176542
2277,178329
2278,145105
2279,131814
2280,120552
2281,185199
2282,192761
2283,106979
2284,116252
2285,143569
2286,128802
2287,340426
2288,282884
2289,353290
2290,417386
2291,342119
2292,405881
2293,442875
2294,384830
2295,442258
2296,287026
2297,322321
2298,337939
2299,360912
2300,328544
2301,296784
2302,241107
2303,245070
2304,247720
2305,186161
2306,188672
2307,194063
2308,239491
2309,285834
2310,223456
2311,199757
2312,181603
2313,179947
2314,184401
2315,178638
2316,193024
2317,187558
2318,181676
2319,181861
2320,187715
2321,241175
2322,186879
2323,180399
2324,176602
2325,215270
2326,176725
2327,215534
2328,223175
2329,184196
2330,181984
2331,332863
2332,368143
2333,310088
2334,254702
2335,269431
2336,326181
2337,199785
2338,273683
2339,232034
2340,380230
2341,214535
2342,230737
2343,217300
2344,232529
2345,242791
2346,219672
2347,194983
2348,238984
2349,180792
2350,296579
2351,267145
2352,249955
2353,266627
2354,137001
2355,157381
2356,154483
2357,202921
2358,201986
2359,129681
2360,123205
2361,138464
2362,259898
2363,140274
2364,156051
2365,221556
2366,195272
2367,224631
2368,204868
2369,232549
2370,172483
2371,173378
2372,185704
2373,267267
2374,310155
2375,238862
2376,261073
2377,323567
2378,144252
2379,187917
2380,145833
2381,162709
2382,187502
2383,207139
2384,245173
2385,158453
2386,144733
2387,135377
2388,113800
2389,131238
2390,144609
2391,134876
2392,120999
2393,162038
2394,147494
2395,200392
2396,148984
2397,196158
2398,133749
2399,79647
2400,75432
2401,118792
2402,140334
2403,141061
2404,149267
2405,157723
2406,137696
2407,128872
2408,136685
2409,139723
2410,160682
2411,126890
2412,157001
2413,139488
2414,138066
2415,142889
2416,122973
2417,132717
2418,126320
2419,136105
2420,131201
2421,152334
2422,125902
2423,143252
2424,167277
2425,223123
2426,137806
2427,144452
2428,171634
2429,122433
2430,133415
2431,128131
2432,137535
2433,144416
2434,140790
2435,151800
2436,120278
2437,115052
2438,127508
2439,123139
2440,122970
2441,99746
2442,110128
2443,118935
2444,132516
2445,94000
2446,140054
2447,203081
2448,148831
2449,114980
2450,152418
2451,137333
2452,209067
2453,107123
2454,142221
2455,113086
2456,128573
2457,127189
2458,124572
2459,118546
2460,135704
2461,122728
2462,131184
2463,119864
2464,171149
2465,134406
2466,122999
2467,147458
2468,102795
2469,98245
2470,182845
2471,183694
2472,172965
2473,121527
2474,118552
2475,205349
2476,113953
2477,131681
2478,160869
2479,123694
2480,148846
2481,136890
2482,134703
2483,123497
2484,126274
2485,126399
2486,159406
2487,204751
2488,148520
2489,156602
2490,153216
2491,98046
2492,180593
2493,153947
2494,164274
2495,109221
2496,220404
2497,150886
2498,121390
2499,106028
2500,143346
2501,133902
2502,145821
2503,117997
2504,192463
2505,219452
2506,256409
2507,289570
2508,258130
2509,227223
2510,230928
2511,189807
2512,216909
2513,215986
2514,234938
2515,155141
2516,178221
2517,141476
2518,148316
2519,221715
2520,211288
2521,197735
2522,218372
